1325376000000,70734,8,Book_8,27,87,95036
1325376086400,47268,7,Book_7,90,9,94041
1325376172800,20358,3,Book_3,10,88,94041
1325376259200,44387,2,Book_2,79,146,94081
1325376345600,13734,4,Book_4,96,110,95036
1325376432000,28438,9,Book_9,90,60,94041
1325376518400,2092,3,Book_3,22,56,94040
1325376604800,79467,8,Book_8,20,145,94081
1325376691200,13714,3,Book_3,87,0,95036
1325376777600,65541,8,Book_8,84,89,94085
1325376864000,24256,4,Book_4,93,64,95051
1325376950400,45152,2,Book_2,19,49,94040
1325377036800,55912,7,Book_7,80,0,94040
1325377123200,9090,1,Book_1,99,9,95054
1325377209600,69663,1,Book_1,87,44,94301
1325377296000,73392,7,Book_7,0,0,94040
1325377382400,1103,6,Book_6,75,128,94301
1325377468800,45547,3,Book_3,27,33,94081
1325377555200,87839,7,Book_7,44,58,95035
1325377641600,11555,3,Book_3,18,104,95015
1325377728000,42827,10,Book_10,8,45,94081
1325377814400,16882,6,Book_6,76,125,94040
1325377900800,78833,1,Book_1,45,101,94301
1325377987200,81737,2,Book_2,88,108,94081
1325378073600,62815,5,Book_5,2,63,95015
1325378160000,46513,5,Book_5,92,138,94301
1325378246400,24167,1,Book_1,7,115,94081
1325378332800,55191,3,Book_3,6,148,94085
1325378419200,8869,6,Book_6,47,24,95035
1325378505600,21115,8,Book_8,77,98,95015
1325378592000,50169,3,Book_3,1,152,95035
1325378678400,97802,7,Book_7,40,143,94040
1325378764800,10756,1,Book_1,29,45,95051
1325378851200,10830,10,Book_10,95,4,95054
1325378937600,86289,2,Book_2,38,0,95035
1325379024000,2944,4,Book_4,38,148,95036
1325379110400,10843,9,Book_9,0,71,94301
1325379196800,7440,4,Book_4,72,60,95054
1325379283200,74386,6,Book_6,73,144,95051
1325379369600,58377,4,Book_4,42,168,94081
1325379456000,23414,6,Book_6,93,101,95036
1325379542400,27165,9,Book_9,100,139,95015
1325379628800,90074,2,Book_2,14,64,95036
1325379715200,55091,1,Book_1,57,20,94085
1325379801600,69551,10,Book_10,1,11,94085
1325379888000,45813,6,Book_6,83,71,94301
1325379974400,72713,7,Book_7,86,86,94301
1325380060800,63557,8,Book_8,51,106,94081
1325380147200,79944,8,Book_8,18,0,95036
1325380233600,45453,2,Book_2,49,110,94301
1325380320000,43045,3,Book_3,10,61,95015
1325380406400,12739,3,Book_3,7,60,95035
1325380492800,29077,7,Book_7,24,0,94081
1325380579200,31221,4,Book_4,26,64,94085
1325380665600,33331,3,Book_3,18,170,94085
1325380752000,33126,6,Book_6,69,74,95051
1325380838400,30870,2,Book_2,1,47,95054
1325380924800,24812,6,Book_6,32,167,94040
1325381011200,12456,9,Book_9,50,130,95051
1325381097600,311,10,Book_10,42,174,94085
1325381184000,35469,10,Book_10,78,34,95035
1325381270400,28114,5,Book_5,52,63,95036
1325381356800,33585,2,Book_2,63,31,95015
1325381443200,64168,4,Book_4,96,0,94041
1325381529600,58214,9,Book_9,14,148,95036
1325381616000,49381,1,Book_1,74,35,94085
1325381702400,10249,10,Book_10,88,82,95035
1325381788800,63226,10,Book_10,82,169,95051
1325381875200,26412,1,Book_1,54,161,94040
1325381961600,17388,10,Book_10,81,26,94041
1325382048000,63495,3,Book_3,30,176,95015
1325382134400,72687,9,Book_9,86,2,94081
1325382220800,93596,7,Book_7,31,147,95051
1325382307200,89629,10,Book_10,76,3,95035
1325382393600,29807,4,Book_4,2,65,94081
1325382480000,56532,6,Book_6,6,13,94040
1325382566400,38840,10,Book_10,65,77,95054
1325382652800,57813,10,Book_10,98,136,94301
1325382739200,13453,7,Book_7,70,99,94301
1325382825600,75770,7,Book_7,79,128,95054
